session_id,group_id,conversation_id,sequence_index,timestamp,speaker,phase,robot_turn_index,triggered_robot,text,mercer_label,is_coded,label_confidence,label_rationale
,,MVI_0070,1,,PARTICIPANT_2,,,,"Hello, Pepper.",,no,0.00,no explicit Mercer talk type
,,MVI_0070,5,,PARTICIPANT_2,,,,I have one idea.,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0070,6,,PARTICIPANT_2,,,,"Okay, here you go.",,no,0.00,"task management, robot address, or social talk without explicit Mercer talk type"
,,MVI_0070,7,,PARTICIPANT_1,,,,My idea is we need more bars and more clubs.,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0070,8,,PARTICIPANT_1,,,,On campus.,,no,0.00,no explicit Mercer talk type
,,MVI_0070,11,,PARTICIPANT_1,,,,"What do you think, Pepper?",,no,0.00,"task management, robot address, or social talk without explicit Mercer talk type"
,,MVI_0070,16,,PARTICIPANT_2,,,,"It's about creating more entertaining spots on campus, such as",,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0070,17,,PARTICIPANT_2,,,,or spots like that.,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0070,18,,PARTICIPANT_2,,,,Did you understand?,,no,0.00,"task management, robot address, or social talk without explicit Mercer talk type"
,,MVI_0070,19,,PARTICIPANT_2,,,,Paper.,,no,0.00,no explicit Mercer talk type
,,MVI_0070,20,,PARTICIPANT_2,,,,"Look at me, paper.",,no,0.00,"task management, robot address, or social talk without explicit Mercer talk type"
,,MVI_0070,21,,PARTICIPANT_2,,,,Did you understand?,,no,0.00,"task management, robot address, or social talk without explicit Mercer talk type"
,,MVI_0070,22,,PARTICIPANT_2,,,,Does it matter whether he's looking?,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0070,26,,PARTICIPANT_2,,,,"Pepper, I absolutely agree with you.",,no,0.00,"task management, robot address, or social talk without explicit Mercer talk type"
,,MVI_0070,27,,PARTICIPANT_2,,,,"I think you are right, you know, completely.",,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0070,33,,PARTICIPANT_1,,,,Yo Pepper?,,no,0.00,no explicit Mercer talk type
,,MVI_0070,34,,PARTICIPANT_1,,,,Let's go back to the bars.,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0070,35,,PARTICIPANT_1,,,,"We wanted to, I don't know, propose some ideas, man.",,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0070,36,,PARTICIPANT_1,,,,We want to build a safe space where you can drink and gamble and have fun with friends.,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0070,41,,PARTICIPANT_2,,,,"In general, I do agree with what you're saying that games and physical game spaces, or whatever it's called in English, would actually improve to the student's mental health.",,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0070,45,,PARTICIPANT_2,,,,"I think, of course, I mean, you need to have certain technological machines to install on campus where students can play games.",,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0070,46,,PARTICIPANT_2,,,,I think that's actually a good idea.,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0070,54,,PARTICIPANT_2,,,,"Do you agree with that, Pepper?",,no,0.00,"task management, robot address, or social talk without explicit Mercer talk type"
,,MVI_0070,55,,PARTICIPANT_2,,,,Gamify the campus experience.,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0070,58,,PARTICIPANT_2,,,,"I also believe that a good idea is to advertise these events, campus games.",,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0070,63,,PARTICIPANT_1,,,,"What do you think, robot?",,no,0.00,"task management, robot address, or social talk without explicit Mercer talk type"
,,MVI_0070,64,,PARTICIPANT_1,,,,"Pepper, what do you think if we allow",,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0070,65,,PARTICIPANT_1,,,,"smoking on campus for everyone and everywhere, even inside the buildings.",,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0070,66,,PARTICIPANT_1,,,,Will this improve campus life?,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0070,69,,PARTICIPANT_1,,,,What about including smoke rooms in every lecture room?,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0070,71,,PARTICIPANT_1,,,,separated with a glass wall and people inside will be able to smoke.,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0070,72,,PARTICIPANT_1,,,,"What do you think about that, Pepper?",,no,0.00,"task management, robot address, or social talk without explicit Mercer talk type"
,,MVI_0070,73,,PARTICIPANT_1,,,,"I think you need to begin with, Pepper,",,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0070,76,,PARTICIPANT_2,,,,"Pepper, we don't just propose designated smoking areas.",,no,0.00,"task management, robot address, or social talk without explicit Mercer talk type"
,,MVI_0070,77,,PARTICIPANT_2,,,,We want to make the whole campus area a smoking area.,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0070,79,,PARTICIPANT_2,,,,Would that improve campus life?,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0070,84,,PARTICIPANT_2,,,,"they would be more inclusive to smokers, wouldn't it be?",,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0070,89,,PARTICIPANT_1,,,,Pepper?,,no,0.00,no explicit Mercer talk type
,,MVI_0070,90,,PARTICIPANT_1,,,,I want capsules in the cafeteria.,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0070,95,,PARTICIPANT_1,,,,"OK. OK. Pepper, let's go back to the smoking.",,no,0.00,"task management, robot address, or social talk without explicit Mercer talk type"
,,MVI_0070,98,,PARTICIPANT_1,,,,for our students to use.,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0070,99,,PARTICIPANT_1,,,,That would be very inclusive for the wheat smokers.,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
